category;pattern
aarstiderne;AARSTIDERNE
bil;GREENMOBILITY
biograf;FILM BIO
biograf;EMPIRE BIO
cafe ;DEMOCRATIC COFFEE
cafe ;ORIGINAL
cafe ;IPSEN OG
cafe ;ANDERSEN
cafe ;REINH VAN HAUEN
cafe ;LAGKAGEHUSET
cafe ;CAFETERIET
cafe ;KAFFEVAERK
cafe ;DARCY S
cafe ;SOCIALFOODIES
cafe ;KAF 
cafe ;KAFFEPLANTAGEN
el_gas;RSTED PRIVATSALG
entertainment;NETFLIX
loen;NOVERF
mad;ALDI
mad;REMA
mad;FAKTA
mad;ICA
mad;DET FRANSKE CONDIT
mad;IRMA
mad_out;SIDECAR
mad_out;DISTRICT TONKIN
mad_out;BANH MI KIM
mad_out;WEDOFOOD
Politiken;POLITIKENS HUS